"source","target","scope"
"com.baidu.hugegraph:hugegraph-core:0.7.4","com.hankcs:hanlp:portable-1.5.0","Compile"
"com.hankcs.nlp:hanlp-lucene-plugin:1.1.3","com.hankcs:hanlp:portable-1.5.4","Compile"
"com.hankcs.nlp:hanlp-solr-plugin:1.1.2","com.hankcs:hanlp:portable-1.3.1","Compile"
"com.hankcs.nlp:hanlp-lucene-plugin:1.1.2","com.hankcs:hanlp:portable-1.3.1","Compile"
"io.github.microvibe.dependencies:microvibe-dependencies-lucene:1.0","com.hankcs:hanlp:portable-1.5.2","Compile"
"com.hankcs.nlp:hanlp-lucene-plugin:1.1.6","com.hankcs:hanlp:portable-1.6.8","Compile"
"org.apache.camel:camel-mybatis:2.8.1","org.mybatis:mybatis:3.0.4","Compile"
"org.apache.camel:camel-mybatis:2.7.3","org.mybatis:mybatis:3.0.4","Compile"
"org.apache.camel:camel-mybatis:2.8.0","org.mybatis:mybatis:3.0.4","Compile"
"org.apache.camel:camel-mybatis:2.7.2","org.mybatis:mybatis:3.0.4","Compile"
"org.mybatis:mybatis:3.0.4","cglib:cglib:2.2","Compile"
"org.mybatis:mybatis:3.0.4","commons-logging:commons-logging:1.1.1","Compile"
"org.mybatis:mybatis:3.0.4","log4j:log4j:1.2.13","Compile"
"com.baidu.hugegraph:hugegraph-api:0.7.4","com.baidu.hugegraph:hugegraph-core:0.7.4","Compile"
